file,sharpness,exposure,noise,face,score,normalized_score
data\DSA00072.ARW,268.6865972834228,0.9688398493501145,19.644680129163046,0,136.59841860943277,60.52621672577866
data\DSA00073.ARW,268.63896038741007,0.9653279691043645,19.567770529325156,10,137.56585563736886,60.9630232220335
data\DSA00074.ARW,266.00846984150184,0.9583185647073733,19.464622719086105,10,136.23819276207175,60.36357152438308
data\DSA00075.ARW,264.91260013764,0.9456913895115364,19.273489279572676,10,135.66735641363076,60.1058337925233
data\DSA00076.ARW,264.11301606076717,0.9743078299789576,19.513074524301732,0,134.30010783180745,59.488508793283046
data\DSA00077.ARW,266.07923003070266,0.9693959417465987,19.617361402633335,0,135.29216993813864,59.93643373332612
data\DSA00078.ARW,268.97369791909887,0.9649732333093075,19.631981104739424,20,138.73953904001615,61.4929518065498
data\DSA00079.ARW,421.6428296850963,0.9733325231215628,27.596380273032015,10,214.8730526267878,95.86791612681675
data\DSA00080.ARW,335.38705821050866,0.9713642943137984,23.39323129120364,50,175.32426152266885,78.01128218118477
data\DSA00081.ARW,141.39291078908764,0.9171093129140165,10.686551122657592,60,78.04024330068378,34.08667529302997
data\DSA00082.ARW,132.16357535452187,0.902921366224961,9.968871229242517,40,71.34955121005267,31.065767797000536
data\DSA00083.ARW,439.41048572925274,0.9736785545029953,28.28289369031495,10,223.82563580000877,99.9100877363399
data\DSA00084.ARW,433.8545003372369,0.9759268096599685,28.047448583730024,40,224.02477306988945,100.0
data\DSA00085.ARW,49.58583389081021,0.9791627476178784,3.890766814561942,0,25.47574245114666,10.353331643309934
data\DSA00086.ARW,48.9241186602578,0.9778505675772721,3.8113619494850286,0,25.136550695350582,10.200183522936769
data\DSA00087.ARW,43.17077267221708,0.9742840269142119,3.2954606359188823,10,23.207217607774695,9.329072327316673
data\DSA00088.ARW,5.503685679607993,0.9138044409505781,0.3602311677742311,10,4.062007288866592,0.6848381312106657
data\DSA00090.ARW,4.472241996111182,0.928683955364757,0.3050474680689656,0,2.545230931471915,0.0
data\DSA00092.ARW,9.10832651005083,0.9736907241808116,0.6757353593137941,0,4.913844008211038,1.069450051173944
data\DSA00094.ARW,11.404061761830087,0.9762942514237285,0.8592244122691914,10,7.080841597569082,2.0478689012561517
