file,sharpness_raw,sharpness_norm,exposure_raw,exposure_norm,noise_raw,noise_norm,face_raw,face_norm,score,normalized_score
data\DSA00001.ARW,4.837302134104483,0.5699949004637599,0.34131365819741855,0.6826273163948371,0.17759145859259187,0.6910213844648957,1.0,0.5,0.6088877835968207,66.63126750042733
data\DSA00002.ARW,5.22016946911903,0.6398705837712277,0.4301187680798784,0.8602375361597568,0.17979640222997711,0.5725690231265806,0.0,0.0,0.6352634550461991,70.13984207135564
data\DSA00003.ARW,5.771893184089658,0.7405636125433023,0.43983017748067227,0.8796603549613445,0.180102401708632,0.5561653211839687,1.0,0.5,0.7397964448784514,84.04514835530966
data\DSA00004.ARW,6.2103620539322435,0.8205869237201093,0.4073620158006729,0.8147240316013458,0.17609472066112447,0.7716811141502761,2.0,1.0,0.831878782755486,96.2942298517584
data\DSA00072.ARW,7.01452630449487,0.9673519291425917,0.6143006992838427,0.7713986014323146,0.18292328258422216,0.4053461960777177,1.0,0.5,0.805630164608762,92.80255630978405
data\DSA00073.ARW,7.035519947067172,0.9711834002180665,0.6097526980236385,0.780494603952723,0.18302412613472036,0.399967885330373,2.0,1.0,0.8597368698278874,100.0
data\DSA00074.ARW,7.141245178287834,0.9904789161808035,0.6313861098505444,0.7372277802989111,0.1827394725274601,0.41515173669325056,2.0,1.0,0.8579229658494002,99.7587088015848
data\DSA00075.ARW,7.193413712687215,1.0,0.6434157716934339,0.7131684566131322,0.18208935329442555,0.44985749692234306,2.0,1.0,0.8589362866761739,99.89350391729718
data\DSA00076.ARW,6.879208296279001,0.942655546288384,0.6041703256588634,0.7916593486822732,0.18330072106814926,0.38522089367475243,1.0,0.5,0.7973476671163492,91.70079250667365
data\DSA00077.ARW,6.9744577376397405,0.9600391650802128,0.6161206814363409,0.7677586371273182,0.1832798135932669,0.3863353599824968,1.0,0.5,0.7989807096765515,91.91802495176861
data\DSA00078.ARW,7.081748685336698,0.9796204340927439,0.6206215655219789,0.7587568689560422,0.1827982108365564,0.4120179485367182,1.0,0.5,0.8086390725868564,93.20281068960018
data\DSA00079.ARW,2.5766289804045543,0.15740791039413407,0.014462501771134995,0.02892500354227001,0.1756639701980155,0.794932464939011,0.0,0.0,0.16687470275364913,7.833300652816293
data\DSA00080.ARW,2.303089351538699,0.1074852172556698,0.019167194965767707,0.03833438993153537,0.17300947704752584,0.938595429442554,0.0,0.0,0.1591024685515509,6.799413673555192
data\DSA00081.ARW,2.818621798239195,0.20157311320793028,0.024381193633967367,0.04876238726793469,0.173212769299856,0.9275701280575883,0.0,0.0,0.20817228559010437,13.326834694551831
data\DSA00082.ARW,2.8270381535840086,0.20310915069897129,0.024455762447034846,0.04891152489406969,0.17308959944715696,0.9342496349310079,0.0,0.0,0.20965299631080736,13.523803480409294
data\DSA00083.ARW,2.3630464127930084,0.11842775593971137,0.013772800855984334,0.027545601711968626,0.1761638917940477,0.7679489332108647,0.0,0.0,0.14427245180453274,4.826678316091706
data\DSA00084.ARW,1.7141494408825446,0.0,0.013313249474198697,0.026626498948397415,0.1718785440455133,1.0,0.0,0.0,0.10798794968451923,0.0
data\DSA00085.ARW,3.9581868920769225,0.4095508703133375,0.3421857027703321,0.6843714055406642,0.17787417265034616,0.6758088420322534,0.0,0.0,0.47766774102209336,49.17596572896591
data\DSA00086.ARW,4.317257125992435,0.475083433829798,0.3433927097293074,0.6867854194586148,0.17767295130021243,0.6866355993931783,0.0,0.0,0.5122409026918013,53.77499616895835
data\DSA00087.ARW,4.646041623696055,0.5350886610635869,0.3356519523298456,0.6713039046596913,0.17849141560584525,0.6426210191033058,0.0,0.0,0.5331976038400313,56.562722308190224
data\DSA00088.ARW,4.732140525197947,0.5508022490985611,0.35879077970463286,0.7175815594092657,0.18796318014462968,0.13766978931822557,0.0,0.0,0.5044425713038828,52.73763766015846
data\DSA00090.ARW,3.253379226877479,0.28091906315151466,0.3616043616209418,0.7232087232418836,0.19057203164748698,0.0,0.0,0.0,0.3574221485483224,33.18051974271314
data\DSA00092.ARW,3.6758769658302417,0.35802754304850776,0.34908194759003713,0.6981638951800743,0.18857351118781007,0.10540830261424483,0.0,0.0,0.39900377033970064,38.7118375374162
data\DSA00094.ARW,2.050483747275254,0.06138311454029084,0.35359002180767435,0.7071800436153487,0.1881597363334908,0.1272764081260781,0.0,0.0,0.2555732111673578,19.632254537152132
